Year,Brand,YouTube URL,Funny,Shows Product Quickly,Patriotic,Celebrity,Danger,Animals,Use Sex,View Counts,Duration (seconds)
2018,Toyota,https://www.youtube.com/watch?v=zeBZvwYQ-hA,False,False,False,False,False,False,False,189948,135
2020,Bud Light,https://www.youtube.com/watch?v=nbbp0VW7z8w,True,True,False,True,True,False,False,89644,61
2006,Bud Light,https://www.youtube.com/watch?v=yk0MQD5YgV8,True,False,False,False,True,True,False,142698,33
2018,Hynudai,https://www.youtube.com/watch?v=lNPccrGk77A,False,True,False,False,False,False,False,248,66
2003,Bud Light,https://www.youtube.com/watch?v=ovQYgnXHooY,True,True,False,False,True,True,True,13901,31
2020,Toyota,https://www.youtube.com/watch?v=f34Ji70u3nk,True,True,False,True,True,True,False,29796,69
2020,Coca-Cola,https://www.youtube.com/watch?v=-gAZRN3SCBw,True,False,False,True,False,True,False,310429,61
2020,Kia,https://www.youtube.com/watch?v=lMs79UXam9A,False,False,False,True,False,False,False,31228,72
2020,Hynudai,https://www.youtube.com/watch?v=WBvkmWDjsYc,True,True,False,True,False,True,False,301988,81
2020,Budweiser,https://www.youtube.com/watch?v=J0xugdotpp8,False,True,True,True,True,False,False,2224,61
2010,Hynudai,https://www.youtube.com/watch?v=dWQqIeAYfK8,False,True,True,False,False,False,False,68760,33
2010,Bud Light,https://www.youtube.com/watch?v=agISXMN4tng,True,False,False,False,True,False,True,3883,30
2007,Budweiser,https://www.youtube.com/watch?v=7KHlMJE84eA,True,True,False,False,False,True,True,186497,31
2002,Budweiser,https://www.youtube.com/watch?v=1MZUvib98Rs,False,True,True,False,False,True,False,167594,62
2005,Bud Light,https://www.youtube.com/watch?v=-gTWA5AsTP8,True,True,False,False,True,True,True,9118,30
2009,Pepsi,https://www.youtube.com/watch?v=qUZaSf7T7ig,True,False,False,False,True,False,False,132158,33
2004,Bud Light,https://www.youtube.com/watch?v=mjN3OY9Eefk,True,True,False,False,False,True,True,4138,31
2020,Doritos,https://www.youtube.com/watch?v=6xVnq31Vk8Y,True,True,False,True,True,True,False,2223313,71
2007,Bud Light,https://www.youtube.com/watch?v=aOfRpCp6Pgw,True,True,False,False,True,False,False,76233,31
2020,Pepsi,https://www.youtube.com/watch?v=Ozb_fJB_z6o,False,True,False,True,False,False,False,36423,49
2019,Hynudai,https://www.youtube.com/watch?v=6mfJ0EsqLWs,True,False,True,True,False,False,False,55884,61
2009,Budweiser,https://www.youtube.com/watch?v=ukpnHh4eEeQ,False,True,True,False,False,True,False,308259,62
2011,Kia,https://www.youtube.com/watch?v=8FMU5yPZgwM,True,True,False,False,True,False,True,37884,61
2019,Doritos,https://www.youtube.com/watch?v=NvIcPAxZ39o,False,True,False,True,False,False,False,74305,69
2013,Hynudai,https://www.youtube.com/watch?v=WTf0XGpINJI,True,True,False,False,True,True,False,4711,31
2019,NFL,https://www.youtube.com/watch?v=sl8ooTIMk2w,True,True,False,True,False,False,False,86853,121
2011,Coca-Cola,https://www.youtube.com/watch?v=Aw6-aXMBseo,False,False,False,False,False,False,False,114986,63
2019,Pepsi,https://www.youtube.com/watch?v=I-_Uh-vZXgo,True,True,False,True,False,False,False,195019,38
2016,Hynudai,https://www.youtube.com/watch?v=r_kXSO9Cph0,True,False,False,False,True,True,False,5552,31
2010,Bud Light,https://www.youtube.com/watch?v=zE7wyUmsM0k,True,False,False,False,False,False,False,86400,47
2000,E-Trade,https://www.youtube.com/watch?v=Muyq2kMDFoA,True,True,False,False,False,True,False,21980,32
2001,Bud Light,https://www.youtube.com/watch?v=XJEYIR-Cai4,True,True,False,False,False,True,False,3757,30
2018,Doritos,https://www.youtube.com/watch?v=rZh_CbcVe7M,True,True,False,True,False,False,False,40861,61
2001,Budweiser,https://www.youtube.com/watch?v=gtmJEt0w1k4,True,True,False,False,False,False,False,62545,31
2018,Coca-Cola,https://www.youtube.com/watch?v=be5DH6jQs38,False,True,False,True,False,False,False,390,31
2013,Hynudai,https://www.youtube.com/watch?v=YyKVvAZSAug,False,False,False,False,False,True,False,3823,103
2004,Pepsi,https://www.youtube.com/watch?v=GzWUUZRli6s,True,False,False,False,False,True,False,182556,46
2018,Kia,https://www.youtube.com/watch?v=9_dE6Z2HK8I,False,False,False,True,False,False,False,38561,75
2018,Pepsi,https://www.youtube.com/watch?v=0gHYd67OumQ,False,True,True,True,False,False,False,765415,87
2010,E-Trade,https://www.youtube.com/watch?v=LgiYL1Ry2I8,True,True,False,False,False,False,False,15126,16
2017,NFL,https://www.youtube.com/watch?v=pvKBdrx4quA,False,True,True,True,False,False,False,317131,61
2000,E-Trade,https://www.youtube.com/watch?v=oftjwYmlfoA,True,True,False,False,True,False,False,76350,31
2007,E-Trade,https://www.youtube.com/watch?v=jaR5-kefxn4,True,False,True,False,False,False,False,97687,30
2000,Budweiser,https://www.youtube.com/watch?v=loimTUjV92Q,True,True,False,False,False,False,False,5573,31
2013,Doritos,https://www.youtube.com/watch?v=DoM6IhfY8No,True,True,False,False,False,True,False,658499,31
2013,Budweiser,https://www.youtube.com/watch?v=AMP9fgyi41M,False,True,False,False,False,False,True,1433,33
2007,Doritos,https://www.youtube.com/watch?v=kNxgxF-7SfA,True,True,False,False,True,False,True,1686887,31
2009,Budweiser,https://www.youtube.com/watch?v=w_ZEGUX4YnI,True,True,True,False,False,True,False,50160,33
2012,E-Trade,https://www.youtube.com/watch?v=fObt1E6Ij_E,True,False,False,False,False,False,False,41,31
2019,Bud Light,https://www.youtube.com/watch?v=hkSQ2Vr41bM,True,True,False,False,False,False,False,37548,16
2007,Bud Light,https://www.youtube.com/watch?v=qIC90Vnc-OI,True,True,False,False,True,False,False,183453,31
2011,Bud Light,https://www.youtube.com/watch?v=JJn1vM7LB1Y,True,True,False,False,False,True,False,534,33
2009,Hynudai,https://www.youtube.com/watch?v=puG0WOgAUfs,True,True,False,False,False,False,False,373892,33
2011,Coca-Cola,https://www.youtube.com/watch?v=nAJvHsVoLq0,True,False,False,False,True,True,False,88288,61
2016,Hynudai,https://www.youtube.com/watch?v=wBcijELzZi4,True,True,False,True,False,True,True,13886,46
2009,Doritos,https://www.youtube.com/watch?v=qKKpRhFcKBk,True,True,False,False,False,False,False,44418,38
2010,Doritos,https://www.youtube.com/watch?v=1ww1k7w4WQ8,True,True,False,False,True,False,False,232977,31
2015,Doritos,https://www.youtube.com/watch?v=2JqRXLQYF9o,True,False,False,False,False,False,True,2429282,31
2007,Coca-Cola,https://www.youtube.com/watch?v=3Tnm53uXIvg,False,True,True,False,True,True,False,249580,61
2002,Budweiser,https://www.youtube.com/watch?v=mhEYXcCB1Qw,True,True,False,False,False,False,False,57895,32
2014,Coca-Cola,https://www.youtube.com/watch?v=nO-8ZY7p95o,True,False,False,False,False,False,False,4305,61
2004,Budweiser,https://www.youtube.com/watch?v=uO-E2T1hayU,True,False,False,False,False,False,False,350960,31
2016,Coca-Cola,https://www.youtube.com/watch?v=sMkGwCw7iv8,True,True,False,True,True,False,False,15247385,72
2015,Budweiser,https://www.youtube.com/watch?v=5tso0er4EUI,True,True,False,False,True,True,False,8966,31
2016,Hynudai,https://www.youtube.com/watch?v=KwUUdl22mkA,True,False,False,True,False,False,False,259298,61
2001,Bud Light,https://www.youtube.com/watch?v=J89vbNUzhIE,True,False,False,False,True,False,True,74373,30
2003,Bud Light,https://www.youtube.com/watch?v=_cEQ5g6bzdM,True,True,False,False,True,False,False,8110,31
2000,Bud Light,https://www.youtube.com/watch?v=M3IV93HwSkc,True,True,False,False,True,False,False,6748,31
2001,Pepsi,https://www.youtube.com/watch?v=1nmPv4M8Ps8,True,False,False,False,False,False,True,1385,33
2014,Doritos,https://www.youtube.com/watch?v=1X_M47SQF6s,True,True,False,False,True,True,False,12667,37
2016,Budweiser,https://www.youtube.com/watch?v=Le_2S2db0Bk,False,True,False,True,False,False,False,173,61
2004,Budweiser,https://www.youtube.com/watch?v=pmmsr7PAhWU,False,True,True,False,False,True,False,1960091,61
2016,Kia,https://www.youtube.com/watch?v=rBkPXt-OpA4,True,False,False,True,False,False,False,19845,76
2017,Budweiser,https://www.youtube.com/watch?v=HtBZvl7dIu4,False,False,True,False,True,False,False,28800689,61
2009,Coca-Cola,https://www.youtube.com/watch?v=icV7fGqPZ2I,False,True,False,False,False,True,False,531802,62
2015,Doritos,https://www.youtube.com/watch?v=YQo0TfuueaY,True,True,True,False,False,True,False,1309003,31
2004,Toyota,https://www.youtube.com/watch?v=5uLJitPWAXM,True,True,False,False,True,False,False,132042,34
2016,NFL,https://www.youtube.com/watch?v=9KqekigARfE,False,False,True,True,False,False,False,4950064,188
2012,Bud Light,https://www.youtube.com/watch?v=Qr3GJqccGi4,True,True,False,False,False,True,True,14867,61
2008,Budweiser,https://www.youtube.com/watch?v=odpagg0jV6I,False,True,True,False,False,True,False,116016,61
2013,Hynudai,https://www.youtube.com/watch?v=jvm68nEAU7o,True,True,False,False,True,True,False,119429,47
2010,Doritos,https://www.youtube.com/watch?v=2IhJl7mBtls,True,True,False,False,False,False,False,11698,31
2016,Bud Light,https://www.youtube.com/watch?v=e0ez2t6oRWY,True,True,True,True,False,True,False,1116,61
2019,Toyota,https://www.youtube.com/watch?v=wegrVsP3gK4,False,True,False,False,False,False,False,6914,70
2009,Bud Light,https://www.youtube.com/watch?v=L1fL0ZHX2t0,True,True,False,False,True,False,False,56349,31
2003,Bud Light,https://www.youtube.com/watch?v=bcV8WN1YIL4,True,True,False,False,False,False,True,149708,31
2019,Coca-Cola,https://www.youtube.com/watch?v=WTqL_giKNHQ,False,True,True,False,False,True,False,86736,61
2012,Hynudai,https://www.youtube.com/watch?v=UxQKSCpOIOI,True,True,False,False,True,False,False,1444,32
2011,Hynudai,https://www.youtube.com/watch?v=5ofcQl6gWeE,True,False,False,False,False,False,False,364,26
2015,Kia,https://www.youtube.com/watch?v=nayeYTmEdYw,True,True,False,True,True,True,True,81744,73
2014,Budweiser,https://www.youtube.com/watch?v=XxfxB0O9Uuk,False,False,True,False,False,True,False,14944,61
2007,Bud Light,https://www.youtube.com/watch?v=kH50-giCeDM,True,True,False,False,True,False,False,224186,31
2010,NFL,https://www.youtube.com/watch?v=6cMHr8goUgU,False,False,True,False,False,False,False,96785,61
2005,Pepsi,https://www.youtube.com/watch?v=vUwROngDC88,True,True,False,False,False,False,False,270,79
2018,Budweiser,https://www.youtube.com/watch?v=GNVw5f16GEM,False,False,True,False,False,False,False,46840,61
2004,Bud Light,https://www.youtube.com/watch?v=yQ_nU0_R7PE,True,False,False,False,True,True,True,88729,31
2002,Budweiser,https://www.youtube.com/watch?v=LnU2T2P1oxA,True,False,False,False,False,False,False,15127,30
2006,Budweiser,https://www.youtube.com/watch?v=4WeAvfP1ikU,True,True,False,False,False,False,False,85749,34
2014,Bud Light,https://www.youtube.com/watch?v=PnOW5qj_R6A,False,True,False,True,False,True,True,150738,210
2009,Coca-Cola,https://www.youtube.com/watch?v=Kwke0LNardc,True,False,False,False,False,True,False,1458113,61
2014,Toyota,https://www.youtube.com/watch?v=b01P9PaaoLk,True,True,False,True,False,True,False,36990,63
2009,Bud Light,https://www.youtube.com/watch?v=LEVQAU_LITI,True,True,False,False,True,False,True,30347,32
2014,Kia,https://www.youtube.com/watch?v=FTNMYoKHwvU,False,False,False,True,True,False,False,43232,93
2014,Hynudai,https://www.youtube.com/watch?v=2jMWybAKjWw,True,True,False,True,True,False,True,2938,32
2013,Bud Light,https://www.youtube.com/watch?v=7HMTkEMdqBQ,True,True,True,True,True,True,True,753,61
2008,Bud Light,https://www.youtube.com/watch?v=WX8Du9pusdA,True,True,False,False,False,False,False,599922,32
2003,Budweiser,https://www.youtube.com/watch?v=zx4SnN9HuRw,True,True,False,False,False,False,False,28040,31
2013,Bud Light,https://www.youtube.com/watch?v=leptS7k6sLE,True,True,False,True,False,False,False,408,61
2011,Doritos,https://www.youtube.com/watch?v=1A6frF5zfDE,True,True,False,False,True,True,False,147757,30
2014,Doritos,https://www.youtube.com/watch?v=Y-P0Hs0ADJY,True,True,False,False,False,True,False,8525049,31
2008,Bud Light,https://www.youtube.com/watch?v=aEWtTVaIH0M,True,False,False,False,False,False,False,556751,32
2012,Pepsi,https://www.youtube.com/watch?v=3rZs8ZKTsp0,False,True,False,True,False,False,False,585527,63
2012,Doritos,https://www.youtube.com/watch?v=kMmd0WaQFGE,True,False,False,False,True,True,False,99464,31
2012,Toyota,https://www.youtube.com/watch?v=oYdJKey7VpU,True,True,False,False,True,True,True,122541,61
2016,Doritos,https://www.youtube.com/watch?v=Qh_gOK6xDNA,True,True,False,False,False,False,False,1340923,30
2002,Bud Light,https://www.youtube.com/watch?v=ZBD4dYTpYAU,True,True,False,False,True,True,True,4263,30
2002,Bud Light,https://www.youtube.com/watch?v=oJvsWvaTr4w,True,False,False,False,True,False,False,66149,31
2013,E-Trade,https://www.youtube.com/watch?v=F0nhq4GO90s,True,True,False,False,False,True,False,192,31
2008,Bud Light,https://www.youtube.com/watch?v=AhqPl1IKVo4,True,True,False,False,True,True,False,24691,31
2012,Coca-Cola,https://www.youtube.com/watch?v=jhvAXT9R_3U,False,True,False,False,False,True,False,20658,33
